ID,Scenario,Metodo,Gherkin (resumen),Url,Datos de prueba,Resultado esperado,Resultado (Paso/Fallo),Imagen,Imagen,
IC-13,Obtener pedido con informacion de usuario,GET,Given pedido idUser=10 / When GET /orders/1/user / Then OrderWithUserDto,http://localhost:8082/orders/1/user,idUser=10,200 OK con OrderWithUserDto,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/IC-13-get-order-with-user.jpg,,
EH-01,OrderNotFoundException retorna 404 con ErrorResponse,GET,Given OrderNotFoundException / When handler / Then 404 y error Not Found,http://localhost:8082/orders/999,id=999,404 con ErrorResponse,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/EH-01-get-error-non-existing-order.jpg,,
EH-02,IllegalArgumentException retorna 400 con ErrorResponse,POST,Given IllegalArgumentException / When handler / Then 400,http://localhost:8082/orders,mensaje invalido,400 Bad Request,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/EH-02-update-order-with-ilegal-argument.jpg,,
EH-03,Validacion fallida retorna 400 con errores,POST,Given request invalida / When POST /orders / Then 400 y validationErrors,http://localhost:8082/orders,"name="""", idUser=null",400 y validationErrors,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/EH-03-update-order-with-invalid-params.jpg,,
EH-04,JSON malformado retorna 400,POST,Given JSON invalido / When POST /orders / Then 400 y message esperado,http://localhost:8082/orders,body invalido,400 con message,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/EH-04-update-with-wrong-json.jpg,,
EH-05,Error de creacion retorna 500,POST,Given OrderCreationException / When handler / Then 500,http://localhost:8082/orders,mensaje error,500 Internal Server Error,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/EH-05-update-order-with-server-error.jpg,,
EH-06,Excepcion generica retorna 500,POST,Given RuntimeException / When handler / Then 500 y message generico,http://localhost:8082/orders,mensaje inesperado,500 con message generico,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/EH-06-update-order-with-generic-error.jpg,,
FLOW-01,"Crear y recuperar pedido end-to-end, la configución de rabbit está en RabbitMQConfig.java","POST, GET",Given BD vacia / When crear y obtener / Then campos correctos,http://localhost:8082/orders ; http://localhost:8082/orders/{id},"name=E2E Test, idUser=1",Pedido recuperado con state PROCESSING,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/FLOW-1-end-to-end-edit-order.jpg,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/FLOW-1-end-to-end-get-order.jpg,"El proyecto tiene la configuración de Rabbit activa, se hace prueba end-to-end"
FLOW-02,Soft-delete no aparece en listado activo la configución de rabbit está en RabbitMQConfig.java,"DELETE, GET",Given pedido activo / When delete y listar / Then no aparece,http://localhost:8082/orders/1 ; http://localhost:8082/orders,orderId=1,Pedido no aparece en activos,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/FLOW-2-end-to-end-delete-order.jpg,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/FLOW-2-end-to-end-get-order-after-delete.jpg,"El proyecto tiene la configuración de Rabbit activa, se hace prueba end-to-end, y cómo la orden fue borrada con soft-delete aparece cómo active= false"
FLOW-03,Transicion de estados completa,PATCH,Given pedido PROCESSING / When cambiar estados / Then state DELIVERED,http://localhost:8082/orders/1,estados PROCESSING -> DELIVERED,Pedido state DELIVERED,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/FLOW-13-ende-to-end-update-order.jpg,,
